"","MG","Rod","AC","BC","Cone","HC","RGC"
"THAP3",0.043298969072165,0.0306836533285484,0.0884871550903901,0.0562716127004087,0.0447154471544715,0.119718309859155,0.164948453608247
"DNAJC11",0.119587628865979,0.198905436928046,0.411988582302569,0.243319710782773,0.477642276422764,0.326291079812207,1.15463917525773
"CAMTA1",1.87010309278351,2.32971469585502,6.0209324452902,3.1474379126061,6.11178861788618,5.52816901408451,16.0721649484536
"RP11-338N10.2",0.00824742268041237,0.0514085770680065,0.00666032350142721,0.00440113171958504,0.048780487804878,0.00234741784037559,0
"RP11-338N10.3",0.00618556701030928,0.0479992822537233,0.00666032350142721,0.00754479723357435,0.0772357723577236,0.00469483568075117,0.0206185567010309
"VAMP3",0.17319587628866,0.0554458998743944,0.159847764034253,0.0864508016347061,0.0894308943089431,0.143192488262911,0.11340206185567
"PER3",5.63917525773196,2.45890902565943,3.31588962892483,6.65671172587237,3.84756097560976,4.63849765258216,4.1340206185567
"RP3-467L1.4",0.235051546391753,0.0995872958909026,0.103710751665081,0.224772084250236,0.138211382113821,0.173708920187793,0.103092783505155
"PARK7",0.358762886597938,0.239458101561098,0.503330161750714,0.375982395473122,0.459349593495935,0.746478873239437,0.412371134020619
"ERRFI1",0.331958762886598,0.0741970213529517,0.235965746907707,0.111285759195222,0.247967479674797,0.117370892018779,0.391752577319588
"SLC45A1",0.0309278350515464,0.0213529517315629,0.160799238820171,0.0515561144294247,0.0386178861788618,0.0985915492957747,0.597938144329897
"RERE",2.91546391752577,2.61995334649202,5.90009514747859,4.64225086450802,15.8882113821138,4.72769953051643,9.05154639175258
"RP5-1115A15.1",0.0288659793814433,0.0298761887672708,0.0732635585156993,0.0569003458032065,0.186991869918699,0.0774647887323944,0.22680412371134
"ENO1",1.39381443298969,0.289162031221963,0.654614652711703,0.37346746306193,0.595528455284553,2.4131455399061,2.39175257731959
"H6PD",0.138144329896907,0.0470123811232729,0.093244529019981,0.112228858849418,0.195121951219512,0.12206572769953,0.474226804123711
"SLC25A33",0.816494845360825,0.334738919791854,0.281636536631779,0.082049669915121,1.0020325203252,0.169014084507042,0.371134020618557
"TMEM201",0.0123711340206186,0.0845146240803876,0.0865842055185538,0.0719899402703552,0.150406504065041,0.117370892018779,0.0515463917525773
"CLSTN1",1.03092783505155,1.03328548358155,1.76213130352046,1.44985853505187,3.69512195121951,1.88028169014085,1.91752577319588
"CTNNBIP1",1.57113402061856,0.0910640588551947,0.305423406279734,0.0748192392329456,0.201219512195122,0.302816901408451,0.463917525773196
"LZIC",0.127835051546392,0.111968419163826,0.150333016175071,0.12637535366237,0.241869918699187,0.241784037558685,0.237113402061856
"NMNAT1",0.0989690721649484,0.0782343441593397,0.0618458610846813,0.0553285130462119,0.221544715447154,0.112676056338028,0.536082474226804
"UBE4B",1.02886597938144,0.99901309886955,1.00190294957184,0.470292360892801,1.17276422764228,0.955399061032864,3.70103092783505
"KIF1B",1.68865979381443,7.1727974161134,3.28924833491913,4.82992769569318,11.3780487804878,3.76525821596244,7.37113402061856
"PGD",0.0391752577319588,0.13278306118787,0.137963843958135,0.0578434454574033,0.40650406504065,0.0985915492957747,0.371134020618557
"DFFA",0.0804123711340206,0.114570249416831,0.212178877259753,0.101540396101855,0.471544715447154,0.185446009389671,0.247422680412371
"PEX14",0.280412371134021,1.97783958370716,0.405328258801142,0.232002514932411,2.10365853658537,0.455399061032864,1.1340206185567
"CASZ1",0.138144329896907,4.10452180154315,0.234062797335871,0.0534423137378183,7.04471544715447,1.21361502347418,0.11340206185567
"RP4-734G22.3",0.0329896907216495,0.528350977929302,0.0313986679352997,0.00282929896259038,0.827235772357724,0.15962441314554,0
"TARDBP",0.4,0.305311322447515,0.411037107516651,0.319396416221314,0.567073170731707,0.544600938967136,0.608247422680412
"MASP2",0.183505154639175,0.122644895029607,0.203615604186489,0.114429424709211,0.217479674796748,0.279342723004695,0.505154639175258
"RP4-635E18.8",0.088659793814433,0.0829894132424188,0.162702188392008,0.0861364350833071,0.16260162601626,0.18075117370892,0.329896907216495
"SRM",0.0371134020618557,0.0497936479454513,0.234062797335871,0.0968248978308708,0.134146341463415,0.293427230046948,0.34020618556701
"EXOSC10",0.0762886597938144,0.19432980441414,0.176022835394862,0.107513360578434,0.40650406504065,0.187793427230047,0.515463917525773
"RP4-635E18.7",0.022680412371134,0.0648663197559663,0.0447193149381541,0.0449544168500472,0.128048780487805,0.0328638497652582,0.11340206185567
"MTOR",0.237113402061856,0.566481248878521,0.701236917221694,0.372524363407733,0.892276422764228,0.457746478873239,1.09278350515464
"UBIAD1",0.0350515463917526,0.0792212452897901,0.0818268315889629,0.0902232002514932,0.152439024390244,0.110328638497653,0.206185567010309
"PTCHD2",0.088659793814433,0.139422214247264,0.508087535680305,0.0889657340458975,0.0630081300813008,0.805164319248826,0.690721649484536
"FBXO2",0.111340206185567,0.016418446079311,0.0960989533777355,0.0204338258409305,0.0467479674796748,0.143192488262911,0.45360824742268
"FBXO44",0.0701030927835052,0.0316705544589987,0.316841103710752,0.0921093995598868,0.121951219512195,0.269953051643192,0.814432989690722
"MTHFR",0.0845360824742268,0.113583348286381,0.228353948620362,0.100597296447658,0.247967479674797,0.169014084507042,0.608247422680412
"CLCN6",0.183505154639175,0.0891799748788803,0.274024738344434,0.137378182961333,0.152439024390244,0.246478873239437,0.896907216494845
"KIAA2013",0.043298969072165,0.0437825228781626,0.179828734538535,0.077648538195536,0.0731707317073171,0.171361502347418,0.123711340206186
"MFN2",0.0969072164948454,0.145792212452898,0.295908658420552,0.185476265325369,0.296747967479675,0.220657276995305,0.896907216494845
"MIIP",0.0391752577319588,0.0456666068544769,0.122740247383444,0.0509273813266269,0.0528455284552846,0.0845070422535211,0.154639175257732
"VPS13D",1.55876288659794,0.966535079849273,1.59752616555661,0.974850675888086,2.58536585365854,1.22300469483568,3.71134020618557
"DHRS3",0.0412371134020619,0.0112147855732998,0.00475737392959087,0.0110028292989626,1.10365853658537,0,0.0206185567010309
"PRDM2",0.348453608247423,0.427956217477122,0.971455756422455,0.541339201508959,0.989837398373984,1.20892018779343,1.5979381443299
"KAZN",7.95670103092784,0.0108559124349542,1.30161750713606,0.930524992140836,2.42479674796748,0.0751173708920188,8.78350515463917
"CELA2B",0.022680412371134,0.0257491476762964,0.0190294957183635,0.0216912920465262,0.0426829268292683,0.0234741784037559,0.144329896907216
"CASP9",0.11340206185567,0.0982415216221066,0.0951474785918173,0.073247406475951,0.150406504065041,0.0821596244131455,0.257731958762887
"DNAJC16",0.288659793814433,0.209940785932173,0.321598477640343,0.201194592895316,0.367886178861789,0.408450704225352,0.618556701030928
"DDI2",0.187628865979381,0.350708774448233,0.342530922930542,0.194278528764539,0.26219512195122,0.192488262910798,0.88659793814433
"PLEKHM2",0.251546391752577,0.138166158263054,0.366317792578497,0.230430682175417,0.166666666666667,0.305164319248826,1.12371134020619
"SLC25A34",0.0577319587628866,0.0125605598420958,0.0884871550903901,0.0308079220370953,0.0182926829268293,0.0868544600938967,0.278350515463918
"RP11-169K16.9",0.280412371134021,0.322447514803517,0.209324452901998,0.24709210939956,0.65650406504065,0.274647887323944,0.381443298969072
"SPEN",0.880412371134021,0.679436569172797,1.19124643196955,0.730587865451116,1.23373983739837,1.32629107981221,1.21649484536082
"ZBTB17",0.0391752577319588,0.0679167414319038,0.102759276879163,0.0619302106255894,0.105691056910569,0.133802816901408,0.237113402061856
"FBXO42",0.734020618556701,0.45415395657635,0.827783063748811,0.548883998742534,1.00609756097561,0.95774647887324,1.52577319587629
"SZRD1",0.115463917525773,0.107213350080746,0.182683158896289,0.131090851933354,0.207317073170732,0.267605633802817,0.278350515463918
"SPATA21",0.0309278350515464,0.0358873138345595,0.0504281636536632,0.0402389185790632,0.0711382113821138,0.0516431924882629,0.0824742268041237
"NECAP2",0.0721649484536083,0.103534900412704,0.112274024738344,0.0785916378497328,0.154471544715447,0.0938967136150235,0.350515463917526
"RP4-798A10.2",0.022680412371134,0.0332854835815539,0.0342530922930542,0.0314366551398931,0.0426829268292683,0.0516431924882629,0.144329896907216
"NBPF1",0.0701030927835052,0.134397990310425,0.256898192197907,0.148381012260296,0.166666666666667,0.0657276995305164,0.639175257731959
"CROCCP2",0.167010309278351,0.0928584245469227,0.278782112274025,0.138006916064131,0.213414634146341,0.126760563380282,0.360824742268041
"CROCC",0.131958762886598,1.01758478377893,0.313035204567079,0.296762024520591,0.186991869918699,0.237089201877934,0.701030927835051
"RP1-37C10.3",0.0391752577319588,0.0446797057240266,0.0837297811607992,0.036466519962276,0.0691056910569106,0.0375586854460094,1.11340206185567
"ATP13A2",0.179381443298969,0.107841378072851,0.355851569933397,0.147437912606099,0.215447154471545,0.213615023474178,2.96907216494845
"SDHB",0.239175257731959,0.230396554817872,0.316841103710752,0.232631248035209,0.485772357723577,0.211267605633803,0.783505154639175
